case_id,atm_id,mule_score,burst_score,geo_score,hub_score,label
0,ATM001,0.5183,0.9967,0.6397,0.0,1
0,ATM002,0.5183,0.9967,0.3232,0.0,0
0,ATM003,0.5183,0.9967,0.6754,0.0,0
0,ATM004,0.5183,0.9967,0.0208,0.0,0
0,ATM005,0.5183,0.9967,0.7704,0.0,0
0,ATM006,0.5183,0.9967,0.5226,0.0,0
0,ATM007,0.5183,0.9967,0.7336,0.0,0
0,ATM008,0.5183,0.9967,0.2824,0.0,0
0,ATM009,0.5183,0.9967,0.1115,0.0,0
0,ATM010,0.5183,0.9967,0.2449,0.0,0
0,ATM011,0.5183,0.9967,0.2302,0.0,0
0,ATM012,0.5183,0.9967,0.1498,0.0,0
1,ATM001,0.2293,0.3778,0.0445,0.2133,0
1,ATM002,0.2293,0.3778,0.5927,0.0,0
1,ATM003,0.2293,0.3778,0.5069,0.0,0
1,ATM004,0.2293,0.3778,0.6535,0.0,0
1,ATM005,0.2293,0.3778,0.8299,0.0,1
1,ATM006,0.2293,0.3778,0.8968,0.0,0
1,ATM007,0.2293,0.3778,0.73,0.0,0
1,ATM008,0.2293,0.3778,0.416,0.0,0
1,ATM009,0.2293,0.3778,0.1062,0.0,0
1,ATM010,0.2293,0.3778,0.4303,0.0,0
1,ATM011,0.2293,0.3778,0.2161,0.0,0
1,ATM012,0.2293,0.3778,0.2695,0.0,0
2,ATM001,0.2196,0.3535,0.6397,0.2133,1
2,ATM002,0.2196,0.3535,0.3232,0.0,0
2,ATM003,0.2196,0.3535,0.6754,0.0,0
2,ATM004,0.2196,0.3535,0.0208,0.0,0
2,ATM005,0.2196,0.3535,0.7704,0.2136,0
2,ATM006,0.2196,0.3535,0.5226,0.0,0
2,ATM007,0.2196,0.3535,0.7336,0.0,0
2,ATM008,0.2196,0.3535,0.2824,0.0,0
2,ATM009,0.2196,0.3535,0.1115,0.0,0
2,ATM010,0.2196,0.3535,0.2449,0.0,0
2,ATM011,0.2196,0.3535,0.2302,0.0,0
2,ATM012,0.2196,0.3535,0.1498,0.0,0
3,ATM001,0.2491,0.426,0.6397,0.4272,0
3,ATM002,0.2491,0.426,0.3232,0.0,0
3,ATM003,0.2491,0.426,0.6754,0.0,0
3,ATM004,0.2491,0.426,0.0208,0.0,0
3,ATM005,0.2491,0.426,0.7704,0.2136,1
3,ATM006,0.2491,0.426,0.5226,0.0,0
3,ATM007,0.2491,0.426,0.7336,0.0,0
3,ATM008,0.2491,0.426,0.2824,0.0,0
3,ATM009,0.2491,0.426,0.1115,0.0,0
3,ATM010,0.2491,0.426,0.2449,0.0,0
3,ATM011,0.2491,0.426,0.2302,0.0,0
3,ATM012,0.2491,0.426,0.1498,0.0,0
4,ATM001,0.3703,0.6977,0.5003,0.4272,1
4,ATM002,0.3703,0.6977,0.2786,0.0,0
4,ATM003,0.3703,0.6977,0.0328,0.0,0
4,ATM004,0.3703,0.6977,0.6784,0.0,0
4,ATM005,0.3703,0.6977,0.4713,0.4279,0
4,ATM006,0.3703,0.6977,0.3804,0.0,0
4,ATM007,0.3703,0.6977,0.8322,0.0,0
4,ATM008,0.3703,0.6977,0.3704,0.0,0
4,ATM009,0.3703,0.6977,0.2,0.0,0
4,ATM010,0.3703,0.6977,0.1857,0.0,0
4,ATM011,0.3703,0.6977,0.4118,0.0,0
4,ATM012,0.3703,0.6977,0.153,0.0,0
5,ATM001,0.2456,0.4176,0.6397,0.6418,0
